City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,belaya gora,68.5333,146.4167,-44.41,100,89,0.74,RU,1674448429
1,lebu,-37.6167,-73.65,13.87,95,4,3.81,CL,1674448430
2,srednekolymsk,67.45,153.6833,-34.92,96,100,2.19,RU,1674448430
3,morant bay,17.8815,-76.4093,25.79,80,25,5.48,JM,1674448431
4,dikson,73.5069,80.5464,-24.0,91,100,10.38,RU,1674448390
5,miyako,39.6367,141.9525,0.7,84,100,3.56,JP,1674448431
6,hilo,19.7297,-155.09,23.85,90,20,2.06,US,1674448220
7,tovarkovo,54.6762,35.9386,-2.76,96,13,1.34,RU,1674448432
8,ashoknagar,24.5667,77.7167,19.78,53,74,3.84,IN,1674448433
9,ushuaia,-54.8,-68.3,9.81,76,0,2.06,AR,1674448433
10,isangel,-19.55,169.2667,29.19,73,85,2.16,VU,1674448434
11,santa rosa,14.3122,121.1114,31.99,64,38,5.69,PH,1674448435
12,cotonou,6.3654,2.4183,26.4,83,18,2.87,BJ,1674448435
13,festus,38.2206,-90.396,3.09,97,100,2.96,US,1674448436
14,el estor,15.5333,-89.35,21.21,94,1,0.41,GT,1674448436
15,gorontalo,0.5412,123.0595,28.03,76,100,1.28,ID,1674448437
16,khatanga,71.9667,102.5,-42.69,98,53,1.13,RU,1674448437
17,mahebourg,-20.4081,57.7,26.25,88,75,1.54,MU,1674448438
18,ocho rios,18.4025,-77.1048,23.55,83,8,5.16,JM,1674448439
19,haines junction,60.7522,-137.5108,-10.85,98,90,1.11,CA,1674448439
20,shingu,33.7333,135.9833,7.73,89,100,2.01,JP,1674448440
21,katsuura,35.1333,140.3,8.82,86,100,6.58,JP,1674448162
22,vengerovo,55.6848,76.7471,-8.35,95,97,4.51,RU,1674448440
23,nanakuli,21.3906,-158.1547,26.97,58,20,4.12,US,1674448442
24,kapaa,22.0752,-159.319,25.18,82,75,3.09,US,1674448442
25,taoudenni,22.6783,-3.9836,14.18,24,0,4.02,ML,1674448443
26,hobart,-42.8794,147.3294,24.04,65,75,5.66,AU,1674448443
27,rikitea,-23.1203,-134.9692,26.25,75,2,6.95,PF,1674448443
28,baoro,5.6667,15.9667,18.7,28,100,1.61,CF,1674448444
29,bredasdorp,-34.5322,20.0403,19.74,85,15,1.21,ZA,1674448444
30,poum,-20.2333,164.0167,25.89,87,100,4.14,NC,1674448445
31,caluquembe,-13.7833,14.6833,14.55,98,100,2.09,AO,1674448446
32,arraial do cabo,-22.9661,-42.0278,23.16,92,92,4.51,BR,1674448446
33,chokurdakh,70.6333,147.9167,-44.84,100,63,1.0,RU,1674448447
34,mataura,-46.1927,168.8643,16.7,42,10,3.45,NZ,1674448447
35,nhulunbuy,-12.2333,136.7667,25.34,100,75,3.09,AU,1674448448
36,coahuayana,18.7333,-103.6833,20.62,92,32,1.31,MX,1674448449
